,id,study_id,action,page,location,position,created_at
0,1,d5524905-e780-4288-a3af-01954033e55c,position:change,,2: active-training,right,2021-08-14 04:35:27.529107+00:00
1,2,d5524905-e780-4288-a3af-01954033e55c,page:add,style/query_all_nodes/shape,2: active-training,right,2021-08-14 04:35:39.421950+00:00
2,3,d5524905-e780-4288-a3af-01954033e55c,page:add,style/query_all_nodes/arrow-shape,2: active-training,right,2021-08-14 04:35:59.761881+00:00
3,4,d5524905-e780-4288-a3af-01954033e55c,position:change,,2: active-training,right,2021-08-14 04:37:55.202638+00:00
4,5,d5524905-e780-4288-a3af-01954033e55c,position:change,,3: trial,right,2021-08-14 04:38:11.276543+00:00
5,6,d5524905-e780-4288-a3af-01954033e55c,page:add,command/command_add,3: trial,right,2021-08-14 04:38:12.955033+00:00
6,7,d5524905-e780-4288-a3af-01954033e55c,position:change,,3: trial,hidden,2021-08-14 04:38:59.944742+00:00
7,8,d5524905-e780-4288-a3af-01954033e55c,position:change,,3: trial,right,2021-08-14 04:39:01.318513+00:00
8,9,d5524905-e780-4288-a3af-01954033e55c,position:change,,4: sketch-to-code,right,2021-08-14 04:39:58.614455+00:00
9,10,d5524905-e780-4288-a3af-01954033e55c,position:change,,4: sketch-to-code,bottom,2021-08-14 04:40:29.203103+00:00
10,11,d5524905-e780-4288-a3af-01954033e55c,page:add,command/command_add,4: sketch-to-code,bottom,2021-08-14 04:40:34.116270+00:00
11,12,c95980d7-788d-46fa-8e55-6d933986a840,position:change,,2: active-training,right,2021-08-14 04:52:31.314648+00:00
12,13,90a344b1-7f38-4033-97e0-da09c18aa9f1,position:change,,2: active-training,right,2021-08-14 04:59:43.609814+00:00
13,14,90a344b1-7f38-4033-97e0-da09c18aa9f1,position:change,,2: active-training,hidden,2021-08-14 04:59:44.356279+00:00
14,15,90a344b1-7f38-4033-97e0-da09c18aa9f1,position:change,,2: active-training,right,2021-08-14 04:59:46.478714+00:00
15,16,afa1c2ed-2ec4-4995-821e-a7a392f358dd,position:change,,6: code-to-sketch,right,2021-08-14 05:46:08.713530+00:00
16,17,afa1c2ed-2ec4-4995-821e-a7a392f358dd,page:add,style/query_all_nodes/label,6: code-to-sketch,right,2021-08-14 05:46:10.634870+00:00
17,18,afa1c2ed-2ec4-4995-821e-a7a392f358dd,page:add,style/query_all_nodes/label,6: code-to-sketch,right,2021-08-14 05:46:10.647940+00:00
18,19,b5b8a4a4-ff8c-45be-95e7-ed8b8a36346b,position:change,,5: code-to-sketch-training,right,2021-08-14 05:47:19.779552+00:00
19,20,b5b8a4a4-ff8c-45be-95e7-ed8b8a36346b,page:add,style/query_all_nodes/label,5: code-to-sketch-training,right,2021-08-14 05:47:20.992650+00:00
20,21,b5b8a4a4-ff8c-45be-95e7-ed8b8a36346b,page:add,style/query_all_nodes/label,5: code-to-sketch-training,right,2021-08-14 05:47:21.005335+00:00
21,22,62f9a64a-4738-4a0b-8adf-21a17b049290,position:change,,2: active-training,bottom,2021-08-15 16:12:41.128029+00:00
22,23,62f9a64a-4738-4a0b-8adf-21a17b049290,position:change,,2: active-training,bottom,2021-08-15 16:12:41.730711+00:00
23,24,62f9a64a-4738-4a0b-8adf-21a17b049290,position:change,,2: active-training,hidden,2021-08-15 16:12:52.747473+00:00
24,25,81db662b-6a7c-4532-a183-883790d7e607,position:change,,2: active-training,bottom,2021-08-17 00:53:07.695710+00:00
25,26,81db662b-6a7c-4532-a183-883790d7e607,position:change,,2: active-training,right,2021-08-17 00:53:10.386387+00:00
26,27,81db662b-6a7c-4532-a183-883790d7e607,position:change,,2: active-training,hidden,2021-08-17 00:53:14.992093+00:00
27,28,81db662b-6a7c-4532-a183-883790d7e607,position:change,,2: active-training,right,2021-08-17 00:53:17.119717+00:00
28,29,81db662b-6a7c-4532-a183-883790d7e607,position:change,,2: active-training,right,2021-08-17 00:53:17.404938+00:00
29,30,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/shape,2: active-training,right,2021-08-17 00:53:30.346187+00:00
30,31,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/arrow-shape,2: active-training,right,2021-08-17 00:54:48.655759+00:00
31,32,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,right,2021-08-17 00:55:35.255778+00:00
32,33,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_all_nodes,3: trial,right,2021-08-17 00:55:35.294406+00:00
33,34,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/command_connect,3: trial,right,2021-08-17 00:55:55.211625+00:00
34,35,81db662b-6a7c-4532-a183-883790d7e607,position:change,command/command_connect,3: trial,hidden,2021-08-17 00:56:20.052444+00:00
35,36,81db662b-6a7c-4532-a183-883790d7e607,position:change,command/command_connect,3: trial,right,2021-08-17 00:56:45.683999+00:00
36,37,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/object_layout_align,3: trial,right,2021-08-17 00:56:47.659448+00:00
37,38,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/label,3: trial,right,2021-08-17 00:57:01.369379+00:00
38,39,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,hidden,2021-08-17 00:57:27.547637+00:00
39,40,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,hidden,2021-08-17 00:58:02.815440+00:00
40,41,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,right,2021-08-17 00:58:02.820502+00:00
41,42,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,hidden,2021-08-17 00:58:17.185304+00:00
42,43,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,right,2021-08-17 00:58:39.732396+00:00
43,44,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/label,3: trial,right,2021-08-17 00:58:43.648738+00:00
44,45,81db662b-6a7c-4532-a183-883790d7e607,page:add,query_constructor/constructor_query_fattree,3: trial,right,2021-08-17 00:59:04.913583+00:00
45,46,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/object_layout_align,3: trial,right,2021-08-17 00:59:13.192392+00:00
46,47,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/command_connect,3: trial,right,2021-08-17 00:59:25.090310+00:00
47,48,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_edge,3: trial,right,2021-08-17 00:59:27.935390+00:00
48,49,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/background-color,3: trial,right,2021-08-17 01:01:14.956944+00:00
49,50,81db662b-6a7c-4532-a183-883790d7e607,page:add,example/query_all_nodes/full-connected,3: trial,right,2021-08-17 01:01:23.144339+00:00
50,51,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/shape,3: trial,right,2021-08-17 01:01:29.684325+00:00
51,52,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_all_nodes,3: trial,right,2021-08-17 01:01:33.394875+00:00
52,53,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/command_add,3: trial,right,2021-08-17 01:01:39.851641+00:00
53,54,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/object_layout_align,3: trial,right,2021-08-17 01:01:42.620286+00:00
54,55,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/label,3: trial,right,2021-08-17 01:02:00.107086+00:00
55,56,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/label,3: trial,right,2021-08-17 01:02:35.873343+00:00
56,57,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/label,3: trial,right,2021-08-17 01:02:38.839887+00:00
57,58,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/command_connect,3: trial,right,2021-08-17 01:02:50.611004+00:00
58,59,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_edge,3: trial,right,2021-08-17 01:02:51.692960+00:00
59,60,81db662b-6a7c-4532-a183-883790d7e607,position:change,query/query_edge,3: trial,hidden,2021-08-17 01:02:58.206639+00:00
60,61,81db662b-6a7c-4532-a183-883790d7e607,position:change,query/query_edge,3: trial,right,2021-08-17 01:02:58.962108+00:00
61,62,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_edge,3: trial,right,2021-08-17 01:03:32.984069+00:00
62,63,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/line-style,3: trial,right,2021-08-17 01:03:36.427872+00:00
63,64,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/line-color,3: trial,right,2021-08-17 01:04:52.807174+00:00
64,65,81db662b-6a7c-4532-a183-883790d7e607,position:change,style/query_all_nodes/line-color,3: trial,hidden,2021-08-17 01:05:20.708196+00:00
65,66,81db662b-6a7c-4532-a183-883790d7e607,position:change,style/query_all_nodes/line-color,3: trial,right,2021-08-17 01:07:36.994916+00:00
66,67,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_all_nodes,3: trial,right,2021-08-17 01:07:43.379123+00:00
67,68,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_edge,3: trial,right,2021-08-17 01:07:49.029168+00:00
68,69,81db662b-6a7c-4532-a183-883790d7e607,page:add,query/query_all_edges,3: trial,right,2021-08-17 01:08:01.283517+00:00
69,70,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/background-color,3: trial,right,2021-08-17 01:08:04.459359+00:00
70,71,81db662b-6a7c-4532-a183-883790d7e607,page:add,query_constructor/constructor_query_fattree,3: trial,right,2021-08-17 01:08:15.736824+00:00
71,72,81db662b-6a7c-4532-a183-883790d7e607,page:add,query_constructor/constructor_query_line,3: trial,right,2021-08-17 01:08:24.060025+00:00
72,73,81db662b-6a7c-4532-a183-883790d7e607,page:add,command/object_layout_align,3: trial,right,2021-08-17 01:08:30.264024+00:00
73,74,81db662b-6a7c-4532-a183-883790d7e607,position:change,,3: trial,hidden,2021-08-17 01:12:59.414222+00:00
74,75,81db662b-6a7c-4532-a183-883790d7e607,position:change,,4: sketch-to-code,right,2021-08-17 01:13:53.286961+00:00
75,76,81db662b-6a7c-4532-a183-883790d7e607,page:add,style/query_all_nodes/background-color,4: sketch-to-code,right,2021-08-17 01:13:57.434578+00:00
