,study_id,start_at,end_at,duration,gender,education,familiarity,experience,usefulness,usefulness_explanation,learnability,learnability_explanation,readability,readability_explanation,usability,usability_explanation,created_at
0,90a344b1-7f38-4033-97e0-da09c18aa9f1,2021-08-14 05:16:59.861000+00:00,2021-08-14 05:18:05.464000+00:00,65,male,1: high-school,6,6,4,,4,,4,,4,,2021-08-14 05:18:05.600148+00:00
1,af9b23dd-29ba-434d-b7e8-f97a6df3e2ea,2021-08-14 17:56:03.681000+00:00,2021-08-14 17:56:16.839000+00:00,13,male,1: high-school,6,6,6,,4,,4,,4,,2021-08-14 17:56:17.221322+00:00
2,6c34ede0-a74e-484b-a5b4-9ffb7b89fbea,2021-08-17 15:54:25.013000+00:00,2021-08-17 15:56:10.475000+00:00,105,male,1: high-school,6,2,6,I quickly was able to pick it up based on only a few simple commands ,6,,6,,5,"Some elements such as looping, changing the chart shape/ orientation quickly took time to get used to",2021-08-17 15:56:10.690991+00:00
3,ccc82234-2781-4d3d-90da-6099e5e1df36,2021-08-17 17:05:59.458000+00:00,2021-08-17 17:07:10.167000+00:00,70,female,1: high-school,4,2,5,manual proves most useful ,6,pretty intuitive ,6,,6,,2021-08-17 17:07:10.282765+00:00
4,74629bae-b1b1-482b-bb1e-c1b63efe0f41,2021-08-17 21:20:21.959000+00:00,2021-08-17 21:23:57.954000+00:00,215,male,2: bachelors,3,7,5,overall they were a nice introduction. some feature are not in the tutorials. it would be nice to include all possible features in the tour,6,easier than python,6,very near to spoken language which makes it quite intuitive to read,5,some alignment options are tricky to use right and autocomplete would be nice to have. Otherwise it was easy to use,2021-08-17 21:23:58.149847+00:00
5,bbd88648-0f6e-4ddb-88c7-364da7e3f3ac,2021-08-17 22:40:48.477000+00:00,2021-08-17 22:47:43.639000+00:00,415,female,2: bachelors,1,1,3,Some information was provided but I feel like I didn't get enough of an overview or any practice in completing the tasks. ,1,I didn't understand how to change frames or create shapes and the information in the docs didn't seem complete ,3,Reading the language towards the end made it clearer how to complete some tasks.,1,I felt like there was no instruction on spacing or creating shapes. I had a lot of browser issues and couldn't see the visualization and couldn't figure out the drawing tool at all.,2021-08-17 22:47:44.670362+00:00
6,c7c3ba8c-ebdb-48f6-9389-d688dd42be83,2021-08-18 00:58:38.694000+00:00,2021-08-18 01:07:27.359000+00:00,528,male,3: masters,5,7,1,"It didn't explain a lot of terminology that was used immediately in the tutorial, like edges or directed edges.",2,"When you're teaching a new language, only present one way to do each action. Don't have both ""connect x with y"" and ""x -> y"" at the very beginning, that's just needlessly confusing.

Also the align keyword makes no sense, you should be able to select multiple nodes then put ""align:vertical"" as an attribute.

And the ""step"" keyword isn't intuitive by any means. Maybe change it to ""frame"" or ""animate"" or something.",4,"It's very convenient that you can define nodes on the fly, but I bet I could write some very very unreadable code with nodes defined in weird places, then have a lot of very confusing selectors set and unset styles. The examples given were clean, but I feel like it allows for some really unclean code to be written.",5,"It was fine, I got through the basic tutorial just fine. But aligning things was hard, and I found it frustrating that I couldn't rotate it the way I want and say ""n1 above n2"" or something.

Also in more complex graphs with weird node names, it becomes very easy to accidentally create new nodes when you typo an existing node name.",2021-08-18 01:07:28.828232+00:00
7,b120046f-8db6-4930-a3f5-87ee28e37384,2021-08-18 15:53:25.300000+00:00,2021-08-18 15:57:13.523000+00:00,228,male,3: masters,6,6,7,the explanations were super precise and consistent! great job,6,the explanations help a lot and the documentation was also important during the learning process! ,7,the language is pretty self-explanatory ,6,"in combination with the documentation, the language eas very easy to use! some parts of the documentation could have been a bit more elaborate but in general it was easy to use and understand the language",2021-08-18 15:57:14.032134+00:00
8,1c553235-7062-48f1-90fe-a43c32dae2e8,2021-08-18 18:42:28.392000+00:00,2021-08-19 00:55:23.824000+00:00,22375,male,0: other,2,3,6,"They were substantially useful because they gave an example of how to use the code. After looking at the tutorial of how to create a graph with nodes, edges, and even frames, the process of completing the tasks became much more straightforward. ",5,"The elements of Protograph were quite hard to follow along in the beginning, as there were so many different tools to keep track of. After playing around with Protograph and understanding more about the properties (without always having to look back at the documentation), everything became much easier to implement. ",6,The formatting and suggested lines of code made the language simple and straightforward.  ,5,"Protograph had clear documentation describing and giving examples for the various node and edge properties that you would need to be making a visualization graph. One slight suggestion for improvement is the color(alias) example under edge color. Instead of representing the color property, the image displays another use of background. It made one of the frame tasks quite confusing, as I had trouble figuring out how to make the label of an edge the color red. ",2021-08-19 00:55:25.659273+00:00
9,831d0d56-6150-48e7-99d9-2a9047486565,2021-08-21 17:46:43.021000+00:00,2021-08-21 17:46:57.957000+00:00,14,male,1: high-school,6,6,4,,4,,4,,4,,2021-08-21 17:46:58.216575+00:00
10,b69f91d0-4b31-484c-bdc0-bf6a132cbbf2,2021-08-21 18:04:37.831000+00:00,2021-08-21 18:04:54.807000+00:00,16,male,1: high-school,6,6,6,,4,,4,,4,,2021-08-21 18:04:55.058925+00:00
11,b299177f-69b1-494f-a5cb-a1dd3c338371,2021-08-21 20:36:37.420000+00:00,2021-08-21 20:36:49.778000+00:00,12,male,1: high-school,4,4,4,,4,,4,,4,,2021-08-21 20:36:49.976088+00:00
12,f100ee03-6a79-4596-ae9a-3817e5db97a4,2021-08-21 21:02:43.912000+00:00,2021-08-21 21:03:01.418000+00:00,17,male,1: high-school,6,6,4,,4,,4,,4,,2021-08-21 21:03:01.599853+00:00
